profile_pic,username,date,comment
2909.008's profile picture,2909.008,76w,up foto sendiri minimal 100 foto perhari bang??
____10d_____'s profile picture,____10d_____,114w,Omg
__andrialamsyah's profile picture,__andrialamsyah,44w,WKWKW SI LAWAK
__iivdinn's profile picture,__iivdinn,75w,Istrinya cakepp ya bg
_afni_i's profile picture,_afni_i,112w,Aamiin allahuma aamiin...????
_ahmadfadli_'s profile picture,_ahmadfadli_,44w,Haji bro haji bro
_alyakulsum's profile picture,_alyakulsum,108w,istri nya gantengg juga ya bang
_ardntrk's profile picture,_ardntrk,111w,@bebekcarok laaaaah
_ayegalang's profile picture,_ayegalang,43w,Oalah udah berumur pun
_blueeeeee0's profile picture,_blueeeeee0,76w,Bang dah makan?
_cicimery's profile picture,_cicimery,111w,Bebek bakar ????
_danisaf's profile picture,_danisaf,119w,50 detik
_emillistiana_'s profile picture,_emillistiana_,78w,Masya Allah ??????
_itznazu's profile picture,_itznazu,76w,Pennanya tpi pertanyaannya agak sarkas niih?
_ivankristian's profile picture,_ivankristian,110w,@aprweell_ beda sdh ayangmu kamu nih
_nanayy19's profile picture,_nanayy19,108w,"Smga langgeng y??, btw titip Salam sm bininya??"
_ptrimharani's profile picture,_ptrimharani,78w,"azura, mff y tante ga nemenin om saaih lgi ada urusan ??"
_pujamo26's profile picture,_pujamo26,118w,masyaallah
_rosegolf's profile picture,_rosegolf,105w,Pake rok dong kalo main dari merah ????
_sweet.daa's profile picture,_sweet.daa,118w,Hai cowokk kiw kiw
_tharypangggg's profile picture,_tharypangggg,44w,Tulul
_triulfa's profile picture,_triulfa,78w,cuuu bgttt ponakannya jd pgn milikin om nya??
_zahra.annisa's profile picture,_zahra.annisa,96w,congrats honey ??
_zahra.annisa's profile picture,_zahra.annisa,118w,POV: ketika sasquad paparazi??
.,.,.,Assalamu'alaikum ????
02yl1's profile picture,02yl1,96w,keren lu bang
10amettttt's profile picture,10amettttt,118w,@fucek_anjay_
1629.pm's profile picture,1629.pm,108w,itu istrinya jiponan ??????
1000 Followers 20k,2000 Followers 35k,4000 Followers 70k,Sedia foll SHOPEE YOUTUBE dan juga TIKTOK!!??
1000 Followers 20k,2000 followers 35k,4000 Followers 70k,Sedia foll SHOPEE YOUTUBE dan juga TIKTOK!!??
21134oo's profile picture,21134oo,91w,Hadeh stail apa lagi ini
2454dump's profile picture,2454dump,107w,"Lagi capek bngt nih, semangatin dong??"
2454dump's profile picture,2454dump,108w,Masyaallah keren bngt??
3110marhaban's profile picture,3110marhaban,43w,Keluarga stress??
333.446.0_'s profile picture,333.446.0_,95w,Saihh kek slay gitu skrng idihh
4m3l_22's profile picture,4m3l_22,114w,Woww
8_juni_ulths's profile picture,8_juni_ulths,108w,Itu kalo kelamaan jomlao seperti saya
8_juni_ulths's profile picture,8_juni_ulths,100w,Makasih banyak bang aku juga mau ngujapin selamamat ya banggg
911.me_'s profile picture,911.me_,97w,"p, emg bowleh yeah sekeren ini[?]"
a.sy4ptra's profile picture,a.sy4ptra,95w,My
a.wahyuhatta's profile picture,a.wahyuhatta,45w,Kalo lu hajinya dari umur berapa?
aaafflaaaaa's profile picture,aaafflaaaaa,108w,istrinya cakep banget ya kak????
aab_alessana1407's profile picture,aab_alessana1407,44w,Yg ono aja masih viral malah ditambah lagi
aan_sandiago's profile picture,aan_sandiago,96w,Good job. My idol??
aan.arinah's profile picture,aan.arinah,104w,Apakah gak punya teman sebaya selain keluarga??? Contoh atta&thoriq punya banyak teman sebaya dan bergaul dgn org lain.
aarrrvi's profile picture,aarrrvi,119w,lap uu????
abdidarmaaa's profile picture,abdidarmaaa,44w,muka ente tua pak haji
abdul7367wahid's profile picture,abdul7367wahid,76w,Serem x ahhh. Kayak Rendy Orton ????
abdulrohim12maret's profile picture,abdulrohim12maret,112w,kapan up video lgii hoii
abdulrohim12maret's profile picture,abdulrohim12maret,110w,"kapan uploud video lagi, udh karatan tuh channel nya hha"
ablflh_'s profile picture,ablflh_,44w,Niat dpt pujian malah banjir hujatan wkwkwk??
abqariyyahalilintar's profile picture,abqariyyahalilintar,119w,EYY MY BOY??????????
abqariyyahalilintar's profile picture,abqariyyahalilintar,120w,Eyyyyy
abqariyyahalilintar's profile picture,abqariyyahalilintar,75w,Kok bisa gitu foto nya??
abqariyyahalilintar's profile picture,abqariyyahalilintar,108w,Petcahhh????
abqariyyahalilintar's profile picture,abqariyyahalilintar,96w,PROUD ADE GW??????
absarifadliii's profile picture,absarifadliii,118w,Thor
abskjsw._'s profile picture,abskjsw._,118w,gimana rasanya berenang di comberan?
abskjsw._'s profile picture,abskjsw._,114w,tutor terbangnya ????????
abyansyah.p's profile picture,abyansyah.p,44w,dia siapa
aceeeel___'s profile picture,aceeeel___,102w,Botak
achaa.scnd_'s profile picture,achaa.scnd_,109w,@fatehhalilintar ganteng bgt no debat????
adammaditya's profile picture,adammaditya,105w,"Saya rasa permainan ini bosenin, cuman saya miskin aja jadi baru bisa liat belom pernah nyobain"
adanraliban's profile picture,adanraliban,111w,Mau kamu aja boleh ga?
addibai_ms's profile picture,addibai_ms,96w,Jass nya buat aing aja ih
ade.gepuk's profile picture,ade.gepuk,110w,"Cakepp pukulannya keras banget, semangat terus kak saaii olahraga golf nya walaupun lagi puasa ??"
ade.gepuk's profile picture,ade.gepuk,111w,Hmmm menurut aku bebek bakar sih kak saaii enak banget kayaknya kalo buat buka puasa nanti sore??
ade.gepuk's profile picture,ade.gepuk,108w,MOHON MAAF LAHIR & YANG BANG ??
ade.gepuk's profile picture,ade.gepuk,110w,"Pemandangan nya bagus banget bang saaii, wib lagi liatin capatuh??"
ade.gepuk's profile picture,ade.gepuk,111w,Tetep semangat dong puasanya walaupun lemes ea??
ade.gepuk's profile picture,ade.gepuk,110w,Wah keren background nya 1000lampu apa 1000lilin??
ade.gepuk's profile picture,ade.gepuk,109w,Wah mantap banget ganteng2 pisan ?? salfok mobil nya panjang bener ??
ade.gepuk's profile picture,ade.gepuk,109w,Yang lagi puasa ya kenceng banget apalagi udah buka ya lebih kenceng
adeayuningsihh's profile picture,adeayuningsihh,90w,AAIHH HARUS BUAT TREND DANZA KUDUROOO??????????????
adelzxz_'s profile picture,adelzxz_,120w,Ah ah ah
adi_irawan11's profile picture,adi_irawan11,43w,"Sekolah gasii, masa gtu aja gak ngerti..."
adin.indra's profile picture,adin.indra,43w,Adek nya gamau kalah viral ????
adinda03puspita's profile picture,adinda03puspita,119w,Pengen deh jadi CADDY NYA
adindasaftrr_'s profile picture,adindasaftrr_,79w,alooo gantengg??
adink's profile picture,adink,96w,Wah congratulations bro ??????????
aditnasution09's profile picture,aditnasution09,45w,HAJI??????????????????????????
0,adiyos_s,76w,Enak yaa jadi YouTuber
adrmdhnz's profile picture,adrmdhnz,114w,Kapan upload lagi bang plissssssssss
advikatiaranstn's profile picture,advikatiaranstn,108w,Istri anda adalah calon suami saya
afidaaya._'s profile picture,afidaaya._,108w,Tolong aurora istrinya di tutup ya??
afifakhayrany_'s profile picture,afifakhayrany_,109w,@realkmlaa_ Kam saaih muu
afiffrqn's profile picture,afiffrqn,76w,kobisa ada burungnya?
afili3785's profile picture,afili3785,45w,Ini masih mending katanya thoriq baru umur dua buln sudh di panggil haji Thoriq ??
afim_sektie's profile picture,afim_sektie,76w,Kapan nikah? ??????????????
afniexciting's profile picture,afniexciting,119w,@saaihalilintar where are u now?
agimardiana's profile picture,agimardiana,107w,Mirip bgt sm thoriq halilintar
